AnimalID,SireID,DamID,SexID,Year,Breed,FamilyID
MRYGY25G090B108,m38_1,MRYGY24G080F705,male,2025,unknown,MRYGY25G0900382
MRYGY25G090B109,m26_2,MRYGY24G080D760,male,2025,unknown,MRYGY25G0900262
MRYGY25G090B110,m59_1,MRYGY24G080C883,male,2025,unknown,MRYGY25G0900591
MRYGY25G090B110X,m41_1,MRYGY24G080C737,male,2025,unknown,MRYGY25G0900412
MRYGY25G090B111,m3_2,MRYGY24G080E067,male,2025,unknown,MRYGY25G0900032
MRYGY25G090B112,m53_2,MRYGY24G080F523,male,2025,unknown,MRYGY25G0900531
MRYGY25G090B113,m57_1,MRYGY24G080C176,male,2025,unknown,MRYGY25G0900573
MRYGY25G090B114,m56_1,MRYGY24G080D813,male,2025,unknown,MRYGY25G0900561
MRYGY25G090B115,m27_2,MRYGY24G080E889,male,2025,unknown,MRYGY25G0900271
MRYGY25G090B116,m46_1,MRYGY24G080F449,male,2025,unknown,MRYGY25G0900461
MRYGY25G090B117,m27_2,MRYGY24G080E889,male,2025,unknown,MRYGY25G0900271
MRYGY25G090B118,m33_2,MRYGY24G080C520,male,2025,unknown,MRYGY25G0900331
MRYGY25G090B119,m14_1,MRYGY24G080E679,male,2025,unknown,MRYGY25G0900141
MRYGY25G090B120,m58_1,MRYGY24G080D112,male,2025,unknown,MRYGY25G0900581
MRYGY25G090B121,m94_1,MRYGY24G080F481,male,2025,unknown,MRYGY25G0900941
MRYGY25G090B122,m52_2,MRYGY24G080C629,male,2025,unknown,MRYGY25G0900521
MRYGY25G090B123,m13_1,MRYGY24G080C598,male,2025,unknown,MRYGY25G0900132
MRYGY25G090B124,m94_1,MRYGY24G080F481,male,2025,unknown,MRYGY25G0900941
MRYGY25G090B125,m66_2,MRYGY24G080E117,male,2025,unknown,MRYGY25G0900663
MRYGY25G090B126,m14_1,MRYGY24G080E679,male,2025,unknown,MRYGY25G0900141
MRYGY25G090B127,m41_1,MRYGY24G080C737,male,2025,unknown,MRYGY25G0900412
MRYGY25G090B128,m2_2,MRYGY24G080C574,male,2025,unknown,MRYGY25G0900021
MRYGY25G090B129,m56_1,MRYGY24G080D363,male,2025,unknown,MRYGY25G0900564
MRYGY25G090B130,m22_2,MRYGY24G080E401,male,2025,unknown,MRYGY25G0900223
MRYGY25G090B131,m89_1,MRYGY24G080F456,male,2025,unknown,MRYGY25G0900893
MRYGY25G090B132,m29_1,MRYGY24G080D080,male,2025,unknown,MRYGY25G0900291
MRYGY25G090B133,m48_1,MRYGY24G080D782,male,2025,unknown,MRYGY25G0900481
MRYGY25G090B134,m3_2,MRYGY24G080E285,male,2025,unknown,MRYGY25G0900033
MRYGY25G090B135,m55_2,MRYGY24G080C832,male,2025,unknown,MRYGY25G0900551
MRYGY25G090B136,m24_1,MRYGY24G080C336,male,2025,unknown,MRYGY25G0900242
MRYGY25G090B137,m100_1,MRYGY24G080D586,male,2025,unknown,MRYGY25G0901002
MRYGY25G090B138,m34_1,MRYGY24G080F395,male,2025,unknown,MRYGY25G0900341
MRYGY25G090B139,m83_1,MRYGY24G080C836,male,2025,unknown,MRYGY25G0900831
MRYGY25G090B140,m14_1,MRYGY24G080E493,male,2025,unknown,MRYGY25G0900142
MRYGY25G090B141,m62_1,MRYGY24G080D556,male,2025,unknown,MRYGY25G0900623
MRYGY25G090B142,m69_1,MRYGY24G080C576,male,2025,unknown,MRYGY25G0900691
MRYGY25G090B143,m25_2,MRYGY24G080F564,male,2025,unknown,MRYGY25G0900252
MRYGY25G090B144,m89_1,MRYGY24G080F456,male,2025,unknown,MRYGY25G0900893
MRYGY25G090B145,m58_1,MRYGY24G080C164,male,2025,unknown,MRYGY25G0900583
MRYGY25G090B146,m29_1,MRYGY24G080D080,male,2025,unknown,MRYGY25G0900291
MRYGY25G090B147,m14_1,MRYGY24G080E679,male,2025,unknown,MRYGY25G0900141
MRYGY25G090B148,m19_1,MRYGY24G080F706,male,2025,unknown,MRYGY25G0900191
MRYGY25G090B149,m78_2,MRYGY24G080C637,male,2025,unknown,MRYGY25G0900781
MRYGY25G090B150,m50_2,MRYGY24G080F753,male,2025,unknown,MRYGY25G0900501
MRYGY25G090B151,m16_2,MRYGY24G080E793,male,2025,unknown,MRYGY25G0900161
MRYGY25G090B152,m16_2,MRYGY24G080E793,male,2025,unknown,MRYGY25G0900161
MRYGY25G090B153,m49_1,MRYGY24G080C327,male,2025,unknown,MRYGY25G0900491
MRYGY25G090B154,m3_2,MRYGY24G080E285,male,2025,unknown,MRYGY25G0900033
MRYGY25G090B155,m68_3,MRYGY24G080E240,male,2025,unknown,MRYGY25G0900673
MRYGY25G090B156,m60_2,MRYGY24G080D176,male,2025,unknown,MRYGY25G0900601
MRYGY25G090B157,m39_2,MRYGY24G080C758,male,2025,unknown,MRYGY25G0900391
MRYGY25G090B158,m55_2,MRYGY24G080D601,male,2025,unknown,MRYGY25G0900552
MRYGY25G090B159,m39_2,MRYGY24G080C758,male,2025,unknown,MRYGY25G0900391
MRYGY25G090B160,m98_1,MRYGY24G080E313,male,2025,unknown,MRYGY25G0900982
MRYGY25G090B161,m93_1,MRYGY24G080F430,male,2025,unknown,MRYGY25G0900931
MRYGY25G090B162,m15_2,MRYGY24G080C625,male,2025,unknown,MRYGY25G0900151
MRYGY25G090B163,m78_2,MRYGY24G080C637,male,2025,unknown,MRYGY25G0900781
MRYGY25G090B164,m4_1,MRYGY24G080C034,male,2025,unknown,MRYGY25G0900041
MRYGY25G090B165,m53_2,MRYGY24G080F523,male,2025,unknown,MRYGY25G0900531
MRYGY25G090B166,m39_2,MRYGY24G080C758,male,2025,unknown,MRYGY25G0900391
MRYGY25G090B167,m80_1,MRYGY24G080D158,male,2025,unknown,MRYGY25G0900801
MRYGY25G090B168,m43_2,MRYGY24G080E447,male,2025,unknown,MRYGY25G0900433
MRYGY25G090B169,S231,MRYGY24G080E199,male,2025,unknown,MRYGY25G0900231
MRYGY25G090B170,m89_1,MRYGY24G080F456,male,2025,unknown,MRYGY25G0900893
MRYGY25G090B171,m93_1,MRYGY24G080F430,male,2025,unknown,MRYGY25G0900931
MRYGY25G090B172,m38_1,MRYGY24G080F885,male,2025,unknown,MRYGY25G0900383
MRYGY25G090B173,m33_2,MRYGY24G080C520,male,2025,unknown,MRYGY25G0900331
MRYGY25G090B174,m29_1,MRYGY24G080E116,male,2025,unknown,MRYGY25G0900293
MRYGY25G090B175,m32_1,MRYGY24G080C800,male,2025,unknown,MRYGY25G0900321
MRYGY25G090B176,S851,MRYGY24G080D294,male,2025,unknown,MRYGY25G0900851
MRYGY25G090B177,m87_1,MRYGY24G080D784,male,2025,unknown,MRYGY25G0900872
MRYGY25G090B178,m47_1,MRYGY24G080F763,male,2025,unknown,MRYGY25G0900471
MRYGY25G090B179,m37_1,MRYGY24G080C620,male,2025,unknown,MRYGY25G0900372
MRYGY25G090B180,m53_2,MRYGY24G080F523,male,2025,unknown,MRYGY25G0900531
MRYGY25G090B181,m78_2,MRYGY24G080C637,male,2025,unknown,MRYGY25G0900781
MRYGY25G090B182,m90_1,MRYGY24G080D597,male,2025,unknown,MRYGY25G0900901
MRYGY25G090B183,m94_1,MRYGY24G080F481,male,2025,unknown,MRYGY25G0900941
MRYGY25G090B184,m33_2,MRYGY24G080C520,male,2025,unknown,MRYGY25G0900331
